agent,network,world,train_pr,infer_pr,n_success,n_total,travel_time_mean,travel_time_std,travel_time_ci95_low,travel_time_ci95_high,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,reward_mean,reward_std,reward_ci95_low,reward_ci95_high,queue_mean,queue_std,queue_ci95_low,queue_ci95_high,delay_mean,delay_std,delay_ci95_low,delay_ci95_high,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high
mplight,sumohz4x4,sumo,0.35,0.35,3,3,368.6,0.264575131106455,368.300605054596,368.899394945404,0,0,0,0,-1.92666666666667,0.0404145188432738,-1.9724,-1.88093333333333,1.63,0.0346410161513774,1.5908,1.6692,0.126666666666667,0.00577350269189626,0.120133333333333,0.1332,2710.33333333333,0.577350269189626,2709.68,2711.98666666667
mplight,sumohz4x4,sumo,0.4,0.4,3,3,368.066666666667,0.305505046330372,367.720955162021,368.412378171312,0,0,0,0,-1.98,0.0264575131106459,-2.00993949454038,-1.95006050545962,1.67333333333333,0.00577350269189626,1.6668,1.67986666666667,0.13,0,0.13,0.13,2713,1,2711.86839347239,2714.13160652761
mplight,sumohz4x4,sumo,0.45,0.45,3,3,368.266666666667,0.251661147842359,367.981885269022,368.551448064311,0,0,0,0,-2.04,0.01,-2.05131606527612,-2.02868393472388,1.70666666666667,0.00577350269189626,1.70013333333333,1.7132,0.13,0,0.13,0.13,2714.33333333333,6.11010092660779,2708.41910324042,2722.24756342625
mplight,sumohz4x4,sumo,0.5,0.5,3,3,368.4,2.71845544381362,365.323778074759,371.476221925241,0,0,0,0,-2.19,0.105356537528527,-2.30922214559384,-2.07077785440615,1.84666666666667,0.0808290376865476,1.7552,1.93813333333333,0.13,0.01,0.118683934723883,0.141316065276117,2713.66666666667,1.52752523165195,2706.93810914344,2715.3952241899
mplight,sumohz4x4,sumo,0.55,0.55,3,3,367.566666666667,1.40118997046559,365.981070949664,369.15226238367,0,0,0,0,-2.14666666666667,0.0378593889720018,-2.18950859835877,-2.10382473497456,1.82333333333333,0.0230940107675851,1.7972,1.84946666666667,0.13,0,0.13,0.13,2711.33333333333,3.78593889720018,2707.04914016412,2715.61752650254
mplight,sumohz4x4,sumo,0.6,0.6,3,3,367.133333333333,0.550757054728605,366.510093055074,367.756573611592,0,0,0,0,-2.20333333333333,0.0208166599946613,-2.22688960166636,-2.1797770650003,1.88333333333333,0.0288675134594812,1.85066666666667,1.916,0.13,0,0.13,0.13,2710.66666666667,0.577350269189626,2710.01333333333,2711.32
mplight,sumohz4x4,sumo,0.65,0.65,3,3,368.233333333333,0.635085296108602,367.514666666667,368.952,0,0,0,0,-2.24666666666667,0.0305505046330387,-2.28123781713124,-2.21209551620209,1.91333333333333,0.0416333199893227,1.86622079666727,1.9604458699994,0.133333333333333,0.00577350269189626,0.1268,0.139866666666667,2712.66666666667,2.08166599946613,2710.31103983336,2715.02229349997
mplight,sumohz4x4,sumo,0.7,0.7,3,3,364.633333333333,0.81445278152471,363.711693249328,365.554973417338,0,0,0,0,-2.36666666666667,0.025166114784236,-2.39514480643113,-2.3381885269022,2.04666666666667,0.0378593889720018,2.00382473497456,2.08950859835877,0.13,0,0.13,0.13,2715.33333333333,2.3094010767585,2712.72,2717.94666666667
mplight,sumohz4x4,sumo,0.75,0.75,3,3,366.7,0.51961524227065,366.112,367.288,0,0,0,0,-2.56666666666667,0.00577350269189614,-2.5732,-2.56013333333333,2.20666666666667,0.00577350269189614,2.20013333333333,2.2132,0.14,0,0.14,0.14,2713.33333333333,2.3094010767585,2710.72,2715.94666666667
mplight,sumohz4x4,sumo,0.8,0.8,3,3,366,0.793725393319375,365.101815163789,366.898184836211,0,0,0,0,-2.56333333333333,0.030550504633039,-2.59790448379791,-2.52876218286876,2.21,0.026457513110646,2.18006050545962,2.23993949454038,0.136666666666667,0.00577350269189626,0.130133333333333,0.1432,2713.66666666667,2.08166599946613,2711.31103983336,2715.02229349997
mplight,sumohz4x4,sumo,0.85,0.85,3,3,364.4,0.699999999999976,363.607875430672,365.192124569328,0,0,0,0,-2.52,0.0299999999999998,-2.55394819582835,-2.48605180417165,2.19,0.02,2.16736786944777,2.21263213055223,0.13,0,0.13,0.13,2714,1,2712.86839347239,2720.13160652761
mplight,sumohz4x4,sumo,0.9,0.9,3,3,366.633333333333,0.83266639978646,365.691082600012,367.575584066655,0,0,0,0,-2.59666666666667,0.0208166599946614,-2.6202229349997,-2.57311039833364,2.24666666666667,0.00577350269189614,2.24013333333333,2.2532,0.14,0,0.14,0.14,2714.66666666667,0.577350269189626,2712.01333333333,2715.32
mplight,sumohz4x4,sumo,0.95,0.95,3,3,365.5,0.435889894354069,365.006744150229,365.993255849771,0,0,0,0,-2.55333333333333,0.0351188458428424,-2.59307404853128,-2.51359261813539,2.2,0.01,2.18868393472388,2.21131606527612,0.136666666666667,0.00577350269189626,0.130133333333333,0.1432,2713.33333333333,1.52752523165195,2711.6047758101,2715.06189085656
mplight,sumohz4x4,sumo,1,1,3,3,365.133333333333,0.305505046330372,364.787621828688,365.479044837979,0,0,0,0,-3.41333333333333,0.030550504633039,-3.44790448379791,-3.37876218286876,2.94333333333333,0.0404145188432739,2.8976,2.98906666666667,0.146666666666667,0.00577350269189625,0.140133333333333,0.1532,2714.66666666667,2.51661147842358,2711.81885269022,2717.51448064311
