run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
29,baseline,mplight,sumohz4x4,sumo,1.0,0.3,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.30__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.30__ckpt_40__rep_02,success,0,381.5,0.0,-2.13,1.72,0.14,2691.0
30,baseline,mplight,sumohz4x4,sumo,1.0,0.3,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.30__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.30__ckpt_35__rep_03,success,0,381.8,0.0,-2.09,1.7,0.14,2707.0
31,baseline,mplight,sumohz4x4,sumo,1.0,0.35,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.35__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.35__ckpt_20__rep_01,success,0,377.1,0.0,-2.15,1.75,0.14,2707.0
32,baseline,mplight,sumohz4x4,sumo,1.0,0.35,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.35__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.35__ckpt_40__rep_02,success,0,379.7,0.0,-2.16,1.76,0.14,2697.0
33,baseline,mplight,sumohz4x4,sumo,1.0,0.35,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.35__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.35__ckpt_35__rep_03,success,0,381.4,0.0,-2.18,1.78,0.14,2693.0
34,baseline,mplight,sumohz4x4,sumo,1.0,0.4,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.40__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.40__ckpt_20__rep_01,success,0,374.7,0.0,-2.17,1.8,0.14,2710.0
35,baseline,mplight,sumohz4x4,sumo,1.0,0.4,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.40__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.40__ckpt_40__rep_02,success,0,378.5,0.0,-2.24,1.83,0.14,2701.0
36,baseline,mplight,sumohz4x4,sumo,1.0,0.4,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.40__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.40__ckpt_35__rep_03,success,0,376.8,0.0,-2.2,1.8,0.14,2707.0
37,baseline,mplight,sumohz4x4,sumo,1.0,0.45,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.45__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.45__ckpt_20__rep_01,success,0,374.1,0.0,-2.17,1.81,0.14,2704.0
38,baseline,mplight,sumohz4x4,sumo,1.0,0.45,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.45__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.45__ckpt_40__rep_02,success,0,377.7,0.0,-2.2,1.81,0.14,2713.0
