agent,network,world,train_pr,infer_pr,n_success,n_total,travel_time_mean,travel_time_std,travel_time_ci95_low,travel_time_ci95_high,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,reward_mean,reward_std,reward_ci95_low,reward_ci95_high,queue_mean,queue_std,queue_ci95_low,queue_ci95_high,delay_mean,delay_std,delay_ci95_low,delay_ci95_high,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high
presslight,sumohz4x4,sumo,0.35,0.35,3,3,446.466666666667,1.19303534454488,445.116620083108,447.816713250225,0,0,0,0,-18.45,0.849293824303463,-19.4110664354421,-17.4889335645579,3.19666666666667,0.367468819538928,2.78083655178266,3.61249678155067,0.196666666666667,0.00577350269189626,0.190133333333333,0.2032,2649.66666666667,2.08166599946613,2647.31103983336,2652.02229349997
presslight,sumohz4x4,sumo,0.4,0.4,3,3,432.833333333333,7.4715014109169,424.37853356568,441.288133100987,0,0,0,0,-18.6433333333333,1.81177629229807,-20.6935512122699,-16.5931154543968,3.01666666666667,0.119303534454489,2.88166200831082,3.15167132502251,0.193333333333333,0.00577350269189626,0.1868,0.199866666666667,2657.33333333333,3.51188458428425,2653.35926181354,2661.30740485313
presslight,sumohz4x4,sumo,0.45,0.45,3,3,442.1,6.78011799307356,434.427574221061,449.772425778939,0,0,0,0,-22.82,5.56463835302888,-29.1169810840857,-16.5230189159143,3.78666666666667,0.460579345317757,3.26547207302199,4.30786126031135,0.203333333333333,0.00577350269189625,0.1968,0.209866666666667,2616.66666666667,49.8932193121804,2560.20717400944,2673.12615932389
presslight,sumohz4x4,sumo,0.5,0.5,3,3,430.733333333333,3.02379452564711,427.311587709955,434.155078956712,0,0,0,0,-20.5133333333333,1.78631837401213,-22.5347428657581,-18.4919238009086,3.55,0.0871779788708134,3.4513488300458,3.6486511699542,0.203333333333333,0.00577350269189625,0.1968,0.209866666666667,2636,12.2882057274445,2622.09458618619,2649.90541381381
presslight,sumohz4x4,sumo,0.55,0.55,3,3,437.466666666667,13.9432181842405,421.688429953466,453.244903379867,0,0,0,0,-20.9533333333333,2.52430848616672,-23.8098572939851,-18.0968093726815,3.91333333333333,0.505206228517952,3.34163866735235,4.48502799931432,0.203333333333333,0.0115470053837925,0.190266666666667,0.2164,2631,32.0468407179241,2594.73558585427,2667.26441414573
presslight,sumohz4x4,sumo,0.6,0.6,3,3,433.033333333333,12.0682779771322,419.376791197379,446.689875469288,0,0,0,0,-21.7333333333333,1.72792746761354,-23.6886673349243,-19.7779993317424,4.49666666666667,1.43060593223058,2.87778365531457,6.11554967801877,0.213333333333333,0.0152752523165195,0.196047758101045,0.230618908565622,2654,19.313207915828,2632.14504785333,2675.85495214667
presslight,sumohz4x4,sumo,0.65,0.65,3,3,438.933333333333,5.34633831078181,432.883382002032,444.983284664634,0,0,0,0,-23.6266666666667,1.29090407596124,-25.0874621455449,-22.1658711877884,4.28,0.367151195013717,3.86452931110205,4.69547068889795,0.206666666666667,0.00577350269189625,0.200133333333333,0.2132,2643,10.1488915650922,2631.51544805692,2654.48455194308
presslight,sumohz4x4,sumo,0.7,0.7,3,3,429.466666666667,9.22297854997687,419.02988393549,439.903449397843,0,0,0,0,-24.2466666666667,3.25394120004239,-27.9288477690992,-20.5644855642342,4.22,0.320780298646909,3.85700292012194,4.58299707987806,0.2,0,0.2,0.2,2661.33333333333,10.785793124909,2649.12805942772,2673.53860723895
presslight,sumohz4x4,sumo,0.75,0.75,3,3,433.966666666667,1.4011899704656,432.381070949664,435.55226238367,0,0,0,0,-33.3733333333333,2.53046109105304,-36.2368196218363,-30.5098470448304,4.93,0.381575680566778,4.49820646909277,5.36179353090723,0.2,0.01,0.188683934723883,0.211316065276117,2656.33333333333,5.85946527708232,2649.70272417747,2662.96394248919
presslight,sumohz4x4,sumo,0.8,0.8,3,3,430.266666666667,9.86525890858084,419.103075289137,441.430258044196,0,0,0,0,-27.6,1.79209374754782,-29.6279449828172,-25.5720550171828,5.01,0.398497176903426,4.55905799338126,5.46094200661874,0.2,0.01,0.188683934723883,0.211316065276117,2643.33333333333,7.09459888459759,2635.30503892474,2651.36162774193
presslight,sumohz4x4,sumo,0.85,0.85,3,3,421.4,9.29999999999999,410.876059293212,431.923940706789,0,0,0,0,-29.27,3.87825991908743,-33.658664240214,-24.881335759786,5.62666666666667,1.46018263697845,3.97431446315664,7.27901887017669,0.206666666666667,0.00577350269189625,0.200133333333333,0.2132,2657.33333333333,28.0416357107308,2625.60123531816,2689.0654313485
presslight,sumohz4x4,sumo,0.9,0.9,3,3,427.2,2.58650343127552,424.273095833479,430.126904166521,0,0,0,0,-30.2633333333333,0.0351188458428426,-30.3030740485313,-30.2235926181354,5.78333333333333,1.43618708159255,4.15813465693165,7.40853200973502,0.206666666666667,0.00577350269189625,0.200133333333333,0.2132,2637.66666666667,6.02771377334171,2630.84566641418,2644.48766691915
presslight,sumohz4x4,sumo,0.95,0.95,3,3,429.133333333333,4.30038757943205,424.266986677188,433.999679989479,0,0,0,0,-31.18,1.03286010669403,-32.3487912388446,-30.0112087611554,5.6,0.452106182218292,5.08839369302819,6.11160630697181,0.206666666666667,0.00577350269189625,0.200133333333333,0.2132,2642.66666666667,2.51661147842358,2639.81885269022,2645.51448064311
presslight,sumohz4x4,sumo,1,1,3,3,425.8,8.09506022213546,416.639577011222,434.960422988778,0,0,0,0,-46.8866666666667,18.3578221293631,-67.6604980209879,-26.1128353123455,7.85666666666667,2.77078207972647,4.72123157865877,10.9921017546746,0.196666666666667,0.00577350269189626,0.190133333333333,0.2032,2655,20.6639783197718,2631.61650724692,2678.38349275308
