agent,train_pr,snr_penalty_db,slot_group,n_slots,result_sets,mlr_mean,mlr_std,mlr_ci95_low,mlr_ci95_high,delay_mean_ms_mean,delay_mean_ms_std,delay_mean_ms_ci95_low,delay_mean_ms_ci95_high,delay_median_ms_mean,delay_median_ms_std,delay_median_ms_ci95_low,delay_median_ms_ci95_high,delay_p95_ms_mean,delay_p95_ms_std,delay_p95_ms_ci95_low,delay_p95_ms_ci95_high,delay_p99_ms_mean,delay_p99_ms_std,delay_p99_ms_ci95_low,delay_p99_ms_ci95_high,delay_max_ms_mean,delay_max_ms_std,delay_max_ms_ci95_low,delay_max_ms_ci95_high
mplight,0.5,20,5,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.2987585016726891,0.004598652172920141,0.29304943622365914,0.304467567121719,12259.646299996013,961.4823036720051,11065.999728491575,13453.292871500451,1581.6034216,81.27923329132214,1480.698103028695,1682.5087401713051,53066.163510039965,5442.498137865533,46309.49287983497,59822.83414024496,157053.15979500793,25946.133006185242,124841.94531050687,189264.37427950898,441244.80114359997,67956.26816467104,356879.4766886351,525610.1255985647
mplight,0.5,25,6,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.36929478542419014,0.016376672950457707,0.3489637201042071,0.38962585074417316,22829.855522189264,9160.72472408449,11457.136942098183,34202.57410228034,4359.4082992,1004.5768919492231,3112.261307197918,5606.555291202083,110454.62749575193,75286.46147078638,16989.125039701205,203920.12995180266,240877.16113000963,100322.67162015926,116330.0815153031,365424.24074471614,482791.2012508,92611.30909886761,367817.5078544504,597764.8946471496
mplight,1.0,0,1,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.029614919944103167,0.0012586938305830706,0.028052295681845498,0.031177544206360836,456.35560890348523,50.65160468935323,393.4734174707976,519.2378003361729,14.0025372,0.00011985324359405894,14.002388406400001,14.0026859936,1018.8057317600001,12.43735857433704,1003.3651871299732,1034.246276390027,4987.071604543967,337.0574989678785,4568.626536437839,5405.516672650095,215410.8031804,42252.40169951229,162955.92779284835,267865.67856795166
mplight,1.0,5,2,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.051613885053154604,0.0028218565849378956,0.04811064903411979,0.05511712107218942,1360.39244290512,246.13299085464072,1054.8269639090563,1665.957921901184,15.0152404,0.01323062556344163,14.998815042214062,15.031665757785937,4126.40684664,261.6744480642796,3801.547193384442,4451.266499895559,29332.721647943963,9777.315783944816,17194.52688403574,41470.91641185219,251276.6019476,35409.35972031023,207317.1232677572,295236.0806274428
mplight,1.0,10,3,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.10055459827094566,0.006622566322580616,0.09233291436130008,0.10877628218059125,4485.098094217071,1170.2698440329411,3032.249111214384,5937.947077219758,41.8058068,6.099019436447796,34.2340879945145,49.377525605485495,16636.05136779999,4087.123518298589,11562.03080985479,21710.071925745193,98953.90637799227,34776.31946951702,55780.3249758194,142127.48778016516,312961.2015188,52762.38410602635,247458.5514419005,378463.8515956995
mplight,1.0,15,4,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.18637101698365474,0.002997785546507165,0.18264937132670617,0.19009266264060332,10177.13527557428,1726.8394120948556,8033.324686535168,12320.94586461339,657.4041452,72.10386029401985,567.8897305264336,746.9185598735664,51492.59838763985,14931.999599995961,32955.044383607936,70030.15239167177,173204.0418500319,29504.544180388122,136575.18464671142,209832.8990533524,366650.2014116,40955.83044674401,315804.9737780085,417495.4290451915
mplight,1.0,20,5,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.2980816022859764,0.004594318596735357,0.2923779168198495,0.30378528775210334,14282.454708669062,2273.3438859210814,11460.17797521608,17104.731442122044,1566.6022692,196.81793229847193,1322.2597064701022,1810.9448319298976,68152.97690559996,17753.146961241964,46113.067358882116,90192.88645231782,194032.83429796036,37911.9768729661,146966.44416208006,241099.22443384066,471441.4012508,62202.70902917499,394218.9187491445,548663.8837524555
mplight,1.0,25,6,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.35355317575342193,0.008369036423708152,0.34316331044253334,0.3639430410643105,23889.825754327816,11451.61694169747,9673.04480221333,38106.606706442304,4326.0062892,1429.6872798021795,2551.099654577697,6100.912923822302,114591.46691095992,83101.33900872349,11424.067972508783,217758.86584941106,269417.0729959389,132246.87140489602,105237.21857555784,433596.92741631996,607843.0013044,70181.00014463552,520715.75009294774,694970.2525158523
presslight,0.1,0,1,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.025405436046351502,0.002496031005668118,0.022306701060896283,0.028504171031806722,1332.2763769217886,715.0264800830885,444.5960699348602,2219.956683908717,13.4076828,0.5428304073133708,12.733777880353138,14.081587719646862,1258.0323808400183,284.4161616999902,904.9396874050099,1611.1250742750267,38345.05067743222,31563.39085779517,-839.7924950055603,77529.89384987,285172.4041988,50496.213909619226,222483.12497132347,347861.6834262765
presslight,0.1,5,2,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.04619776584603643,0.004798181598875147,0.040240991609963965,0.052154540082108895,3178.8220555866433,1038.6073248484606,1889.427474209433,4468.2166369638535,14.2073612,0.4468026491291209,13.65267137551207,14.76205102448793,8615.2108452,4072.0250623446186,3559.934490986514,13670.487199413485,92668.83811481562,36569.349582439965,47269.272689098194,138068.40354053304,337977.80575319997,62014.767579708736,260988.6459720378,414966.9655343621
